Expiration Date,Type,Strike,Open Interest,Volume,Implied Volatility,Underlying Price
2026-07-24,Call,540,56,12,23.25,628.5
2026-07-24,Put,540,277,91,23.25,628.5
2026-07-24,Call,545,48,21,22.78,628.5
2026-07-24,Put,545,305,111,22.78,628.5
2026-07-24,Call,550,179,41,22.32,628.5
2026-07-24,Put,550,957,402,22.32,628.5
2026-07-24,Call,555,162,61,21.85,628.5
2026-07-24,Put,555,721,101,21.85,628.5
2026-07-24,Call,560,367,27,21.39,628.5
2026-07-24,Put,560,1951,590,21.39,628.5
2026-07-24,Call,565,399,76,20.94,628.5
2026-07-24,Put,565,2064,840,20.94,628.5
2026-07-24,Call,570,883,112,20.49,628.5
2026-07-24,Put,570,3765,254,20.49,628.5
2026-07-24,Call,575,1425,460,20.04,628.5
2026-07-24,Put,575,8720,3810,20.04,628.5
2026-07-24,Call,580,1443,285,19.6,628.5
2026-07-24,Put,580,7357,925,19.6,628.5
2026-07-24,Call,585,1174,282,19.16,628.5
2026-07-24,Put,585,5896,1874,19.16,628.5
2026-07-24,Call,590,2605,997,18.73,628.5
2026-07-24,Put,590,13857,2424,18.73,628.5
2026-07-24,Call,595,2528,940,18.3,628.5
2026-07-24,Put,595,10229,1691,18.3,628.5
2026-07-24,Call,600,6393,677,17.87,628.5
2026-07-24,Put,600,88092,4664,17.87,628.5
2026-07-24,Call,605,3552,1122,17.45,628.5
2026-07-24,Put,605,16550,5995,17.45,628.5
2026-07-24,Call,610,5360,1487,17.03,628.5
2026-07-24,Put,610,7463,715,17.03,628.5
2026-07-24,Call,615,4286,1021,16.61,628.5
2026-07-24,Put,615,6592,2346,16.61,628.5
2026-07-24,Call,620,6799,1845,16.2,628.5
2026-07-24,Put,620,10567,1813,16.2,628.5
2026-07-24,Call,625,30326,6813,15.79,628.5
2026-07-24,Put,625,13924,2971,15.79,628.5
2026-07-24,Call,630,29234,4197,15.52,628.5
2026-07-24,Put,630,4439,721,15.52,628.5
2026-07-24,Call,635,15279,4809,15.6,628.5
2026-07-24,Put,635,3586,1303,15.6,628.5
2026-07-24,Call,640,25167,5349,15.68,628.5
2026-07-24,Put,640,5596,653,15.68,628.5
2026-07-24,Call,645,11670,1003,15.76,628.5
2026-07-24,Put,645,3306,776,15.76,628.5
2026-07-24,Call,650,73086,18302,15.84,628.5
2026-07-24,Put,650,5107,1677,15.84,628.5
2026-07-24,Call,655,10787,2183,15.91,628.5
2026-07-24,Put,655,2136,645,15.91,628.5
2026-07-24,Call,660,13033,1108,15.99,628.5
2026-07-24,Put,660,2460,1069,15.99,628.5
2026-07-24,Call,665,8652,2854,16.06,628.5
2026-07-24,Put,665,1418,620,16.06,628.5
2026-07-24,Call,670,9716,3271,16.14,628.5
2026-07-24,Put,670,1803,286,16.14,628.5
2026-07-24,Call,675,8166,3356,16.21,628.5
2026-07-24,Put,675,2014,263,16.21,628.5
2026-07-24,Call,680,4509,1270,16.29,628.5
2026-07-24,Put,680,896,351,16.29,628.5
2026-07-24,Call,685,2565,866,16.36,628.5
2026-07-24,Put,685,476,143,16.36,628.5
2026-07-24,Call,690,2493,772,16.43,628.5
2026-07-24,Put,690,423,91,16.43,628.5
2026-07-24,Call,695,880,217,16.51,628.5
2026-07-24,Put,695,211,22,16.51,628.5
2026-07-24,Call,700,1296,369,16.58,628.5
2026-07-24,Put,700,281,118,16.58,628.5
2026-07-31,Call,540,41,7,22.74,628.5
2026-07-31,Put,540,201,11,22.74,628.5
2026-07-31,Call,545,54,13,22.3,628.5
2026-07-31,Put,545,246,20,22.3,628.5
2026-07-31,Call,550,167,41,21.86,628.5
2026-07-31,Put,550,949,264,21.86,628.5
2026-07-31,Call,555,121,18,21.43,628.5
2026-07-31,Put,555,550,142,21.43,628.5
2026-07-31,Call,560,280,16,21.0,628.5
2026-07-31,Put,560,1560,637,21.0,628.5
2026-07-31,Call,565,247,67,20.58,628.5
2026-07-31,Put,565,1172,373,20.58,628.5
2026-07-31,Call,570,580,181,20.16,628.5
2026-07-31,Put,570,3330,1190,20.16,628.5
2026-07-31,Call,575,1116,464,19.74,628.5
2026-07-31,Put,575,5668,368,19.74,628.5
2026-07-31,Call,580,1268,251,19.33,628.5
2026-07-31,Put,580,6744,2517,19.33,628.5
2026-07-31,Call,585,1022,440,18.92,628.5
2026-07-31,Put,585,4852,1242,18.92,628.5
2026-07-31,Call,590,1929,818,18.51,628.5
2026-07-31,Put,590,8886,603,18.51,628.5
2026-07-31,Call,595,1738,776,18.11,628.5
2026-07-31,Put,595,9911,3463,18.11,628.5
2026-07-31,Call,600,5512,2245,17.71,628.5
2026-07-31,Put,600,80691,14231,17.71,628.5
2026-07-31,Call,605,2826,889,17.32,628.5
2026-07-31,Put,605,11617,1019,17.32,628.5
2026-07-31,Call,610,4790,742,16.92,628.5
2026-07-31,Put,610,8195,1199,16.92,628.5
2026-07-31,Call,615,2727,1042,16.54,628.5
2026-07-31,Put,615,4427,538,16.54,628.5
