Type,Strike,Exp Date,Bid,Ask,Last,Volume,OI,IV,Underlying Price,Quote Date
C,150.0,2026-07-24,36.91,38.32,37.88,75,128,0.3668,187.5,2026-07-17
P,150.0,2026-07-24,0.0,0.03,0.01,17,31,0.366,187.5,2026-07-17
C,152.5,2026-07-24,34.19,36.05,35.33,2,31,0.3531,187.5,2026-07-17
P,152.5,2026-07-24,0.0,0.03,0.01,20,37,0.3564,187.5,2026-07-17
C,155.0,2026-07-24,32.17,33.07,32.74,37,88,0.3394,187.5,2026-07-17
P,155.0,2026-07-24,0.0,0.03,0.01,5,33,0.3496,187.5,2026-07-17
C,157.5,2026-07-24,29.53,30.71,29.88,55,110,0.3296,187.5,2026-07-17
P,157.5,2026-07-24,0.0,0.03,0.01,17,82,0.3254,187.5,2026-07-17
C,160.0,2026-07-24,27.27,27.98,27.74,32,78,0.3233,187.5,2026-07-17
P,160.0,2026-07-24,0.0,0.03,0.01,4,43,0.314,187.5,2026-07-17
C,162.5,2026-07-24,24.64,25.61,24.71,23,65,0.3069,187.5,2026-07-17
P,162.5,2026-07-24,0.0,0.03,0.01,15,58,0.3132,187.5,2026-07-17
C,165.0,2026-07-24,22.3,22.96,22.48,65,159,0.2965,187.5,2026-07-17
P,165.0,2026-07-24,0.0,0.03,0.01,12,86,0.2999,187.5,2026-07-17
C,167.5,2026-07-24,19.9,20.37,19.99,74,228,0.292,187.5,2026-07-17
P,167.5,2026-07-24,0.0,0.03,0.01,58,148,0.2954,187.5,2026-07-17
C,170.0,2026-07-24,17.43,17.85,17.5,43,100,0.2793,187.5,2026-07-17
P,170.0,2026-07-24,0.0,0.04,0.01,82,414,0.2845,187.5,2026-07-17
C,172.5,2026-07-24,14.74,15.59,15.34,23,64,0.2754,187.5,2026-07-17
P,172.5,2026-07-24,0.01,0.06,0.04,96,245,0.2768,187.5,2026-07-17
C,175.0,2026-07-24,12.44,13.03,12.58,211,656,0.2794,187.5,2026-07-17
P,175.0,2026-07-24,0.07,0.12,0.11,106,190,0.2763,187.5,2026-07-17
C,177.5,2026-07-24,10.15,10.5,10.38,215,683,0.2657,187.5,2026-07-17
P,177.5,2026-07-24,0.18,0.23,0.23,66,336,0.2686,187.5,2026-07-17
C,180.0,2026-07-24,7.87,8.2,7.99,524,967,0.259,187.5,2026-07-17
P,180.0,2026-07-24,0.39,0.44,0.39,298,723,0.2616,187.5,2026-07-17
C,182.5,2026-07-24,5.86,6.17,6.09,61,877,0.2647,187.5,2026-07-17
P,182.5,2026-07-24,0.78,0.83,0.79,1372,2390,0.2547,187.5,2026-07-17
C,185.0,2026-07-24,4.07,4.24,4.15,64,862,0.2551,187.5,2026-07-17
P,185.0,2026-07-24,1.41,1.49,1.45,2269,4192,0.2487,187.5,2026-07-17
C,187.5,2026-07-24,2.63,2.72,2.68,114,1119,0.2511,187.5,2026-07-17
P,187.5,2026-07-24,2.54,2.62,2.56,214,423,0.2561,187.5,2026-07-17
C,190.0,2026-07-24,1.53,1.58,1.58,12500,1600,0.2462,187.5,2026-07-17
P,190.0,2026-07-24,3.81,3.94,3.9,140,1088,0.2425,187.5,2026-07-17
C,192.5,2026-07-24,0.82,0.87,0.85,691,2106,0.2456,187.5,2026-07-17
P,192.5,2026-07-24,5.54,5.78,5.61,461,1012,0.2409,187.5,2026-07-17
C,195.0,2026-07-24,0.38,0.43,0.41,230,724,0.2422,187.5,2026-07-17
P,195.0,2026-07-24,7.54,7.99,7.74,212,597,0.2442,187.5,2026-07-17
C,197.5,2026-07-24,0.15,0.2,0.18,365,968,0.241,187.5,2026-07-17
P,197.5,2026-07-24,9.75,10.27,9.82,54,496,0.2368,187.5,2026-07-17
C,200.0,2026-07-24,0.04,0.09,0.03,265,504,0.2359,187.5,2026-07-17
P,200.0,2026-07-24,12.2,12.66,12.33,159,532,0.2477,187.5,2026-07-17
C,202.5,2026-07-24,0.0,0.05,0.02,105,1221,0.2464,187.5,2026-07-17
P,202.5,2026-07-24,14.67,15.06,15.03,87,157,0.2364,187.5,2026-07-17
C,205.0,2026-07-24,0.0,0.03,0.01,5,65,0.239,187.5,2026-07-17
P,205.0,2026-07-24,17.16,17.54,17.4,110,492,0.2382,187.5,2026-07-17
C,207.5,2026-07-24,0.0,0.03,0.01,36,202,0.2372,187.5,2026-07-17
P,207.5,2026-07-24,19.42,20.27,19.93,27,82,0.2454,187.5,2026-07-17
C,210.0,2026-07-24,0.0,0.03,0.01,80,157,0.2326,187.5,2026-07-17
P,210.0,2026-07-24,21.68,23.0,22.18,64,135,0.2389,187.5,2026-07-17
C,212.5,2026-07-24,0.0,0.03,0.01,59,226,0.2371,187.5,2026-07-17
P,212.5,2026-07-24,24.46,25.22,24.77,2,14,0.2382,187.5,2026-07-17
C,215.0,2026-07-24,0.0,0.03,0.01,15,71,0.2321,187.5,2026-07-17
P,215.0,2026-07-24,26.56,28.11,28.01,85,165,0.2435,187.5,2026-07-17
C,217.5,2026-07-24,0.0,0.03,0.01,33,73,0.2411,187.5,2026-07-17
P,217.5,2026-07-24,29.12,30.55,29.77,68,153,0.2346,187.5,2026-07-17
C,220.0,2026-07-24,0.0,0.03,0.01,8,22,0.2436,187.5,2026-07-17
P,220.0,2026-07-24,31.49,33.17,31.91,7,69,0.2432,187.5,2026-07-17
C,222.5,2026-07-24,0.0,0.03,0.01,1,4,0.2436,187.5,2026-07-17
P,222.5,2026-07-24,34.14,35.52,34.12,4,40,0.244,187.5,2026-07-17
C,225.0,2026-07-24,0.0,0.03,0.01,9,41,0.2502,187.5,2026-07-17
P,225.0,2026-07-24,36.38,38.27,37.45,4,31,0.2452,187.5,2026-07-17
C,150.0,2026-07-31,36.65,38.82,37.16,21,60,0.3738,187.5,2026-07-17
P,150.0,2026-07-31,0.0,0.03,0.01,29,67,0.369,187.5,2026-07-17
C,152.5,2026-07-31,34.8,35.68,35.75,20,56,0.363,187.5,2026-07-17
P,152.5,2026-07-31,0.0,0.03,0.02,3,13,0.3578,187.5,2026-07-17
C,155.0,2026-07-31,32.22,33.27,32.88,49,83,0.3446,187.5,2026-07-17
P,155.0,2026-07-31,0.0,0.03,0.01,3,38,0.348,187.5,2026-07-17
C,157.5,2026-07-31,29.94,30.58,30.14,9,60,0.3377,187.5,2026-07-17
P,157.5,2026-07-31,0.0,0.04,0.01,24,63,0.3352,187.5,2026-07-17
