Trade Time,Ticker,Expiration Date,Strike Price,Contract Type,Reference Price,Size,Option Price,Bid Price,Ask Price,Volume,Open Interest,Implied Volatility
2026-07-16T13:31:38.000Z,DEMO,2026-08-16,$202.50,PUT,$187.46,236,$7.78,$7.73,$7.83,"10,140","4,245",18.78%
2026-07-16T14:01:43.000Z,DEMO,2026-07-24,$202.50,PUT,$187.47,15,$8.01,$7.96,$8.06,"9,056","5,222",20.12%
2026-07-16T14:04:42.000Z,DEMO,2026-07-24,$187.50,CALL,$187.42,124,$1.68,$1.63,$1.73,"2,611","5,564",16.72%
2026-07-16T14:21:26.000Z,DEMO,2026-07-24,$170.00,PUT,$187.40,355,$8.73,$8.68,$8.78,"2,490","7,779",19.05%
2026-07-16T14:23:06.000Z,DEMO,2026-08-16,$172.50,PUT,$187.38,277,$7.91,$7.86,$7.96,666,675,20.60%
2026-07-16T14:30:55.000Z,DEMO,2026-08-16,$197.50,CALL,$187.33,18,$5.91,$5.86,$5.96,"3,894","6,076",20.22%
2026-07-16T14:32:33.000Z,DEMO,2026-07-24,$172.50,CALL,$187.36,314,$7.82,$7.77,$7.87,"6,356","4,525",20.69%
2026-07-16T15:02:35.000Z,DEMO,2026-07-24,$182.50,PUT,$187.38,239,$3.43,$3.38,$3.48,"4,827","3,138",16.15%
2026-07-16T15:32:32.000Z,DEMO,2026-07-24,$170.00,CALL,$187.37,41,$8.92,$8.87,$8.97,"9,216","6,613",20.74%
2026-07-16T15:42:22.000Z,DEMO,2026-08-16,$187.50,CALL,$187.34,367,$1.68,$1.63,$1.73,"9,001",734,16.93%
2026-07-16T16:08:12.000Z,DEMO,2026-07-24,$177.50,PUT,$187.40,54,$5.72,$5.67,$5.77,"6,968","3,422",17.81%
2026-07-16T16:37:02.000Z,DEMO,2026-08-16,$187.50,CALL,$187.38,232,$1.85,$1.80,$1.90,"8,884","3,484",19.12%
2026-07-16T16:55:11.000Z,DEMO,2026-08-16,$170.00,PUT,$187.36,261,$9.07,$9.02,$9.12,"1,015","2,666",22.22%
2026-07-16T16:55:21.000Z,DEMO,2026-08-16,$172.50,PUT,$187.37,28,$7.81,$7.76,$7.86,218,624,19.23%
2026-07-16T16:56:46.000Z,DEMO,2026-08-16,$207.50,PUT,$187.50,355,$9.82,$9.77,$9.87,864,"4,397",19.52%
2026-07-16T16:56:55.000Z,DEMO,2026-08-16,$202.50,PUT,$187.40,94,$7.88,$7.83,$7.93,"10,660","3,962",19.92%
2026-07-16T17:03:17.000Z,DEMO,2026-08-16,$170.00,PUT,$187.45,378,$8.92,$8.87,$8.97,810,"2,395",20.22%
2026-07-16T17:03:19.000Z,DEMO,2026-07-24,$187.50,PUT,$187.31,354,$1.78,$1.73,$1.83,"9,964","3,406",18.39%
2026-07-16T17:06:02.000Z,DEMO,2026-07-24,$170.00,PUT,$187.33,278,$8.90,$8.85,$8.95,"3,804","6,149",20.36%
2026-07-16T17:13:54.000Z,DEMO,2026-08-16,$177.50,CALL,$187.45,146,$5.63,$5.58,$5.68,"6,977","1,156",16.87%
2026-07-16T17:15:05.000Z,DEMO,2026-08-16,$187.50,PUT,$187.48,228,$1.56,$1.51,$1.61,301,996,16.45%
2026-07-16T17:39:43.000Z,DEMO,2026-07-24,$170.00,PUT,$187.50,305,$9.00,$8.95,$9.05,"1,458",667,20.79%
2026-07-16T17:44:35.000Z,DEMO,2026-08-16,$202.50,PUT,$187.45,123,$7.65,$7.60,$7.70,"7,223","1,657",17.49%
2026-07-16T17:49:12.000Z,DEMO,2026-08-16,$207.50,CALL,$187.46,103,$10.07,$10.02,$10.12,"7,419","4,811",21.53%
2026-07-16T18:04:08.000Z,DEMO,2026-08-16,$172.50,PUT,$187.44,82,$7.78,$7.73,$7.83,"3,117","4,261",19.86%
2026-07-16T18:26:03.000Z,DEMO,2026-08-16,$192.50,CALL,$187.38,119,$4.01,$3.96,$4.06,"10,921","7,799",20.11%
2026-07-16T19:15:55.000Z,DEMO,2026-07-24,$187.50,PUT,$187.36,156,$2.06,$2.01,$2.11,"2,993","7,816",20.55%
2026-07-16T19:36:24.000Z,DEMO,2026-07-24,$187.50,PUT,$187.37,27,$1.62,$1.57,$1.67,"9,063","6,146",16.91%
2026-07-16T19:51:43.000Z,DEMO,2026-07-24,$202.50,PUT,$187.31,23,$7.70,$7.65,$7.75,"8,363","6,783",17.12%
2026-07-16T19:59:01.000Z,DEMO,2026-07-24,$192.50,PUT,$187.25,303,$3.83,$3.78,$3.88,"5,726","2,647",19.34%
2026-07-16T20:16:09.000Z,DEMO,2026-08-16,$207.50,PUT,$187.15,165,$9.90,$9.85,$9.95,"5,358","5,405",18.46%
2026-07-16T20:42:06.000Z,DEMO,2026-07-24,$197.50,CALL,$187.18,399,$5.77,$5.72,$5.82,"4,186","3,902",17.41%
2026-07-16T20:43:43.000Z,DEMO,2026-08-16,$202.50,CALL,$187.22,302,$7.89,$7.84,$7.94,"7,105","2,827",19.39%
2026-07-16T20:52:10.000Z,DEMO,2026-08-16,$192.50,PUT,$187.24,288,$3.73,$3.68,$3.78,"9,376",899,17.86%
2026-07-16T20:52:18.000Z,DEMO,2026-07-24,$170.00,PUT,$187.31,133,$8.54,$8.49,$8.59,"1,266","3,250",17.57%
