date,close,iv
2026-02-02,277.5,0.2999
2026-02-03,273.41,0.3021
2026-02-04,275.69,0.2993
2026-02-05,280.6,0.2989
2026-02-06,280.85,0.2924
2026-02-09,274.61,0.283
2026-02-10,268.15,0.2868
2026-02-11,261.54,0.2828
2026-02-12,253.56,0.281
2026-02-13,254.1,0.2755
2026-02-16,259.24,0.2698
2026-02-17,259.24,0.2691
2026-02-18,249.15,0.2662
2026-02-19,248.37,0.2677
2026-02-20,247.7,0.2695
2026-02-23,257.08,0.2708
2026-02-24,250.61,0.2718
2026-02-25,248.94,0.2781
2026-02-26,256.59,0.2738
2026-02-27,258.69,0.2736
2026-03-02,261.33,0.2781
2026-03-03,261.91,0.2832
2026-03-04,263.49,0.2775
2026-03-05,267.18,0.2762
2026-03-06,263.45,0.2817
2026-03-09,267.61,0.2837
2026-03-10,261.26,0.2845
2026-03-11,262.83,0.2836
2026-03-12,263.71,0.2821
2026-03-13,260.91,0.2832
2026-03-16,260.86,0.2822
2026-03-17,258.06,0.2821
2026-03-18,253.28,0.2824
2026-03-19,251.76,0.2797
2026-03-20,246.95,0.2818
2026-03-23,248.41,0.2934
2026-03-24,243.47,0.2863
2026-03-25,246.6,0.2876
2026-03-26,241.56,0.2846
2026-03-27,239.21,0.2869
2026-03-30,236.64,0.2871
2026-03-31,242.28,0.2901
2026-04-01,243.74,0.2948
2026-04-02,242.88,0.2956
2026-04-03,245.08,0.3001
2026-04-06,236.18,0.2908
2026-04-07,236.05,0.2971
2026-04-08,244.57,0.2986
2026-04-09,245.19,0.3029
2026-04-10,245.53,0.298
2026-04-13,247.96,0.2947
2026-04-14,251.96,0.2953
2026-04-15,243.29,0.2952
2026-04-16,236.22,0.2964
2026-04-17,237.15,0.3007
2026-04-20,234.22,0.2936
2026-04-21,239.76,0.2975
2026-04-22,238.47,0.2976
2026-04-23,230.52,0.2968
2026-04-24,225.47,0.2909
2026-04-27,210.22,0.2929
2026-04-28,209.4,0.2832
2026-04-29,208.75,0.2858
2026-04-30,207.23,0.2799
2026-05-01,211.25,0.2801
2026-05-04,215.81,0.2796
2026-05-05,215.21,0.2843
2026-05-06,207.3,0.2836
2026-05-07,209.61,0.2808
2026-05-08,211.71,0.2788
2026-05-11,212.91,0.2838
2026-05-12,216.67,0.286
2026-05-13,212.31,0.2845
2026-05-14,220.01,0.2835
2026-05-15,216.36,0.2772
2026-05-18,219.29,0.2788
2026-05-19,212.9,0.2718
2026-05-20,209.47,0.2748
2026-05-21,215.2,0.2753
2026-05-22,214.25,0.2848
2026-05-25,217.49,0.2804
2026-05-26,218.45,0.28
2026-05-27,218.09,0.2872
2026-05-28,223.44,0.292
2026-05-29,222.55,0.2892
2026-06-01,236.32,0.2901
2026-06-02,233.04,0.2901
2026-06-03,235.36,0.2912
2026-06-04,237.06,0.2884
2026-06-05,230.64,0.2881
2026-06-08,227.76,0.2817
2026-06-09,225.48,0.2822
2026-06-10,224.07,0.284
2026-06-11,218.75,0.2831
2026-06-12,216.38,0.2766
2026-06-15,213.66,0.3706
2026-06-16,216.63,0.2821
2026-06-17,219.79,0.2791
2026-06-18,219.27,0.278
2026-06-19,217.8,0.272
2026-06-22,218.38,0.2679
2026-06-23,215.3,0.2658
2026-06-24,211.03,0.2707
2026-06-25,207.6,0.2681
2026-06-26,205.33,0.2707
2026-06-29,201.2,0.2685
2026-06-30,201.82,0.2695
2026-07-01,204.47,0.269
2026-07-02,194.5,0.2725
2026-07-03,194.63,0.2703
2026-07-06,193.91,0.264
2026-07-07,195.12,0.2585
2026-07-08,195.12,0.3264
2026-07-09,190.21,0.2514
2026-07-10,186.06,0.253
2026-07-13,186.2,0.2511
2026-07-14,189.64,0.2606
2026-07-15,182.42,0.2537
2026-07-16,183.57,0.2545
2026-07-17,187.5,0.25
